,claim_text,premise_texts,year,quarter,label
135,claim: Now the biggest trend that we see in consumer behavior is definitely video.,"premises: [""And there's a strong technological underpinning for that, which is that if you go back five years and you tried to watch a video on your phone, it would probably have to buffer for a minute or so before you'd actually get to watch it, which wasn't a good experience."", ""And if you wanted to upload a video, whether it was a longer video like what you'd post to News Feed or a 10-second story like what you'd post in any of the apps, even that might take 30 seconds to upload, so it wasn't a good experience."", ""So now as the technology on the network level improves to support that, what we're seeing is the ability to serve what is a large amount of demand for what's a very engaging type of content."", ""And that demand flows across social content like we're seeing in Stories and Feed to clearly a huge amount of public content."", 'Pages are engaging in this, and some of the trends that Dave just talked about for just a lot of video behavior across the platform.']",2017,Q2,0
1360,claim: They're obviously both critical platforms.,"premises: ['Both have over 1.2 million monthly actives.', 'And WhatsApp has demonstrated significant engagement with crossing 1 billion daily actives.']",2017,Q2,0
2082,"claim: So, a combination of being able to understand the text that people message, read the articles that people would want to look at, watch the videos, look at the photos, are going to be great, too.","premises: [""And similarly, we want to be able look at a video and watch it and understand whether that's something that you're going to be interested in."", ""But there's no reason that we shouldn't be able to match you up with any of the millions of pieces of content that you might be interested in that gets shared on Facebook every day, except for the fact that we don't have the AI technology to know what those are about and if they match your interest today."", ""And you can imagine that today, we consider putting things in your News Feed that you're connected to in some way, right, that are from a friend or a page that you're following or that one of your friends likes.""]",2016,Q4,0
1805,claim: We have in China currently a set of geopolitical issues that we are working through.,"premises: [""We're very committed to China as a market."", ""We have in fact pockets of good growth in China with our cloud doing fairly well, but at the same time we're grounded that in the fact that we need more work to do and we're working through them and then as and when they will work out, we will let you know.""]",2015,Q2,0
1803,"claim: So that's the opportunity we see, whether it's -- for all front line, whether it's in manufacturing, whether it's in retail, whether it's in healthcare.","premises: ['So in other words, it can be -- start with Teams.', 'It can start with some of our devices in the first-line worker.', 'For example, one of the things that we see the most traction for HoloLens is with first-line workers.', ""People in manufacturing and other in field service, where they were never issued a standard laptop or even a phone are being issued a HoloLens as their first computing device, and that's just because of the productivity it drives.""]",2019,Q2,0
1127,claim: So those are the natural places where you'll see us gain more developers and gain more traction.,"premises: ['And as you can imagine, our share is today in desktops, in emerging in tablets, in 2-in-1 and of course now with Xbox as well, which is you know got great attraction to gaming developers.', ""We are big believers in a unified developer platform and a unified Store, and then as Windows 10 monthly active devices increases and the Store usage increases, we'll see more and more developers take advantage of it."", 'In my opening commentary, I talked a little bit about both the increased visits to the Store and transactions as well as the fact that we are attracting new applications from developers like Netflix to Wall Street Journal to others.']",2016,Q2,0
953,claim: So that was another influence in Q2.,"premises: [""But the 51% year-over-year is also – it's a combination of the hiring we've done but also an adjustment we made to our estimated forfeiture rate."", ""We're seeing less forfeitures, which is a great sign for our employee retention, but you have to make adjustments to your reserves as you see that.""]",2017,Q2,2
744,claim: so it's going to have a different margin profile than core Facebook News Feed from an expense profile perspective.,"premises: [""On the content front, we're looking at investing in kick-starting an ecosystem for longer-form content on Facebook, and that involves us working with content providers to develop that content."", 'In the long run, we expect to see a revenue share model on the platform.', ""And obviously, we're going to be in an area where we're sharing revenue with content providers,""]",2017,Q1,0
1564,claim: And so we think that in the aggregate that they may reduce upgrade cycles and also the iPhone that has been sold to someone else hits the price point that we're not hitting today largely which could help further fuel the services revenue which we did quite well on last quarter.,"premises: ['I would also point out that some of these upgrade programs that are in the market, they sort of began to look more like a subscription business in terms of the way they operate.']",2015,Q4,0
1418,claim: There are other investments certainly that are increasing sequentially.,"premises: [""I'd point to India and AWS, but primarily the two biggest issues in Q3 guidance I would say are the operational ramp and also the increase in digital content spend""]",2016,Q2,1
435,"claim: As I go through different countries as I've been traveling lately, and looking at some things in the market, other things that are coming, the very cool thing is they're all over the place.","premises: [""I see things that the consumer's going to love because it's going to change shopping."", 'I see things that consumers will love on the gaming side and the entertainment side.', 'I see business-related AR apps as well.', 'And I see apps that makes me want to go back to K-12 again and repeat my schooling because I think it changes the game in the classroom a lot.']",2017,Q4,0
677,"claim: The emerging markets which has been a source to great questions over time, the growth was absolutely stunning,",premises: [],2015,Q1,0
1963,"claim: Really, Karl, what can drive that in addition to the overall gross margin improvement we talk about in the cloud, it's also really the strength we see in our Windows business.","premises: ['And I mean that not just in our OEM business but also across the commercial business for Windows.', 'That tends to have a very good margin profile.', 'And as we continue to improve the margin profile of our devices, we continue to see the OEM business health improve', 'And actually, we continue to see the growth in the consumer services around the transactions that run through Xbox is also good margin business for us that looks quite different than the hardware profile.']",2017,Q2,0
475,claim: We're very thrilled with the customer response to Prime Video.,"premises: ['Again, when Prime Video is used by our Prime members, it drives adoption and retention, higher free trial conversion rates, and higher renewal rates for subscribers.', 'So what we were encouraged by in Q4 was that globally we doubled the number of – our Prime members doubled the number of viewing hours of the Prime Video year-over-year.', 'And internationally, we had twice as member Prime members streaming year-over-year.']",2015,Q4,2
1414,claim: We generally work to change the fees to make sure that the incentives are strong on both sides and we continue to have a healthy growth in third party.,"premises: ['On the international, on an FX neutral basis, the growth was 15% in Q3 and 19% in Q4.']",2018,Q4,2
204,"claim: So we decided hey, we're going to put together a team that's going to invest in making this actually good for buying and selling and see how much we can grow that economy.","premises: ['So I think your basic point is right, that the reason why we started working on Marketplace and the tab around that is because when we were exploring what the biggest use cases were of Groups, we uncovered that a very large number of people, hundreds of millions, use Groups to buy and sell different things.', ""And so these whole communities have formed, which was somewhat surprising to us honestly, because we hadn't developed that product specifically for buying and selling."", ""It was for group communication and that's what people were using it for.""]",2017,Q1,0
143,claim: So there’s a lot of granularity that goes into thinking about how revenue will progress that ultimately it’s going to depend on the supply and demand characteristics in that given quarter when we do that and we see that we expect constant currency deceleration.,premises: ['And when we get to Q4 we’re going to be lapping some particularly successful optimizations that we had in Q4 and that’s going to contribute to more of a decel in Q4 than we think we’ll see in Q3.'],2019,Q2,2
1192,claim: And our supply chain management is optimized for it.,premises: ['And we learned a lot with what is our workload diversity as well as our geo-diversity.'],2015,Q3,0
